id,title,display_title,album,year,notes,active,duration_sec,artwork,song_type
1,Vile Chat,VILE CHAT,Vile Chat EP,2025,,TRUE,134,,,
2,The King's Sip,KINGS SIP,Vile Chat EP,2025,,TRUE,171,,,
3,"The Headless Dead pts I & II",HEADLESS / SEVERED,Vile Chat EP,2025,,TRUE,299,,,
4,Rock Hudson,ROCK HUDSON,Acid Chalet,2023,,TRUE,119,,,
5,Desmodontinae,DESMO,Acid Chalet,2023,,TRUE,178,,,
6,Nix Street,NIX ST,Acid Chalet,2023,,TRUE,116,,,
7,The Hydromancer,HYDROMANCER,Acid Chalet,2023,,TRUE,152,,,
8,A Year With The Professor,YEAR WITH THE PROFESOR,Acid Chalet,2023,,TRUE,103,,,
9,Theme From Acid Chalet Pt I,ACID CHALET I,Acid Chalet,2023,,TRUE,92,,,
10,Theme From Acid Chalet Pt II,ACID CHALET II,Acid Chalet,2023,,TRUE,105,,,
11,Theme From Acid Chalet Pt III,ACID CHALET III,Acid Chalet,2023,,TRUE,112,,,
12,Where'd That White Ghost Go?,WHERE'D THAT WHITE GHOST GO,Acid Chalet,2023,,TRUE,148,,,
13,"Sincerely Satan (Of Sin City!)",SINCERELY SATAN,Acid Chalet,2023,,TRUE,76,,,
14,Screams Of The Rat Men,SCREAMS OF THE RAT MEN,Acid Chalet,2023,,TRUE,119,,,
15,Dreams Of The Fat Men,DREAMS OF THE FAT MEN,Acid Chalet,2023,,FALSE,179,,,
16,Come See The Creature,COME SEE THE CREATURE,Acid Chalet,2023,,FALSE,121,,,
17,Black Wine,BLACK WINE,Acid Chalet,2023,,FALSE,197,,,
18,Psychotropica,PSYCHOTROPICA,Acid Chalet,2023,,FALSE,284,,,
19,Dreadful Dreck,DREADFUL DRECK,Acid Chalet,2023,,FALSE,101,,,
20,I Am Considering Joining Up With The Demon,CONSIDERING JOINING THE DEMON,Acid Chalet,2023,,FALSE,109,,,
21,Westway Ford Cemetery,WESTWAY FORD,Beware The Dangers Of A Ghost Scorpion!,2020,,TRUE,223,,,
22,Parasite Mansion,PARASITE MANSION,Beware The Dangers Of A Ghost Scorpion!,2020,,TRUE,157,,,
23,R.I.P. The Clown,RIP THE CLOWN,Beware The Dangers Of A Ghost Scorpion!,2020,,TRUE,183,,,
24,I See Them Heads But Not Them Bodies,I SEE THEM HEADS,Beware The Dangers Of A Ghost Scorpion!,2020,,TRUE,152,,,
25,She's Howlin',SHE'S HOWLIN,Beware The Dangers Of A Ghost Scorpion!,2020,,TRUE,135,,,
26,Boris Frankenstein's Nightmare,BORIS FRANKENSTEIN,Beware The Dangers Of A Ghost Scorpion!,2020,,FALSE,127,,,
27,I'm Shy,I'M SHY,Beware The Dangers Of A Ghost Scorpion!,2020,,FALSE,112,,,
28,A Grim Wager,GRIM WAGER,Beware The Dangers Of A Ghost Scorpion!,2020,,FALSE,140,,,
29,Least Of All Monsters,LEAST OF ALL MONSTERS,Beware The Dangers Of A Ghost Scorpion!,2020,,FALSE,185,,,
30,Me And Him Are Gonna Beat You Up,BEAT U UP,Beware The Dangers Of A Ghost Scorpion!,2020,,TRUE,170,,,
31,Caught Dead,CAUGHT DED,Caught Dead EP,2014,,TRUE,143,,,
32,Safari Zone,SAFARI ZONE,Caught Dead EP,2014,,TRUE,125,,,
33,Texas Blood Money,TEXAS BLOOD MONEY,Caught Dead EP,2014,,TRUE,158,,,
34,Planet Slime,PLANET SLIME,Caught Dead EP,2014,,TRUE,144,,,
35,Terrifying Master,TERRIFYING MASTER,Boss Metal Zone EP,2015,,FALSE,134,,,
36,Straight To Darkness,2 DARKNESS,Boss Metal Zone EP,2015,,TRUE,115,,,
37,As Hot As Hell,AS HOT AS HELL,Boss Metal Zone EP,2015,,FALSE,161,,,
38,Full Of Blood,FULL O BLOOD,Boss Metal Zone EP,2015,,TRUE,147,,,
39,Cateye Glasses,CATEYE GLASSES,Blood Drinkers Only,2013,,FALSE,177,,,
40,The Lover's Curse,LOVER'S CURSE,Blood Drinkers Only,2013,,FALSE,135,,,
41,The Nameless One,NAMELESS 1,Blood Drinkers Only,2013,,TRUE,171,,,
42,"Satan's Invisible World...Revealed!",SATAN'S INVISIBLE WORLD,Blood Drinkers Only,2013,,TRUE,164,,,
43,Haintmaker,HAINTMAKER,Blood Drinkers Only,2013,,TRUE,163,,,
44,Room 505,ROOM 505,Blood Drinkers Only,2013,,TRUE,171,,,
45,Blood Drinkers Only,BLOOD DRINKERS ONLY,Blood Drinkers Only,2013,,FALSE,184,,,
46,Christopher's Galaxy,CHRIS'S GALAXY,Blood Drinkers Only,2013,,TRUE,159,,,
47,Haunted Highway,HAUNTED HIGHWAY,Blood Drinkers Only,2013,,TRUE,108,,,
48,Black Crescent,BLACK CRESCENT,Blood Drinkers Only,2013,,FALSE,155,,,
49,13 Stabs,13 STABS,Blood Drinkers Only,2013,,FALSE,144,,,
50,Red River Tombstone Hustle,RED RIVER,5 After Midnight,2011,,TRUE,127,,,
51,The Lurker,LURKER,5 After Midnight,2011,,FALSE,124,,,
52,North Texas Cobra Squadron Theme,N TX,5 After Midnight,2011,,TRUE,99,,,
53,Unforgettable Skull Deformation,UNFORGETTABLE SKULL DEFORMATION,5 After Midnight,2011,,FALSE,154,,,
54,Denton County Casket Company,DENTON COUNTY CASKET CO,5 After Midnight,2011,,FALSE,164,,,
55,"We Welcome the Living (But Only If They Come Here to Die)",WE WELCOME,The Legend Of Goatman's Bridge,2011,,TRUE,196,,,
56,They Won't Stay Dead!,THEY WONT STAY DEAD,The Legend Of Goatman's Bridge,2011,,FALSE,124,,,
57,Heads Will Roll!,HEADS WILL ROLL,The Legend Of Goatman's Bridge,2011,,TRUE,142,,,
58,Goatman's Bridge,GOATMAN'S BRIDGE,The Legend Of Goatman's Bridge,2011,,FALSE,145,,,
59,Zombie Dance Party,ZOMBIE DANCE PARTY,unreleased,,,TRUE,,,,
